country,name,full_name,tag,isin,id,currency
argentina,Tenaris,Tenaris,tenaris?cid=13302,LU0156801721,13302,ARS
argentina,PETROBRAS ON,Petroleo Brasileiro - Petrobras,petrobras-on?cid=13303,BRPETRACNOR9,13303,ARS
argentina,GP Fin Galicia,Grupo Financiero Galicia B,gp-fin-galicia,ARP495251018,13304,ARS
argentina,Ternium Argentina,Ternium Argentina Sociedad Anónima,siderar,ARSIDE010029,13305,ARS
argentina,Pampa Energía,Pampa Energía S.A.,pampa-energia,ARP432631215,13306,ARS
argentina,Telecom Argentina,Telecom Argentina S.A. B,telecom,ARP9028N1016,13307,ARS
argentina,Banco Patagonia,Banco Patagonia,bco-patagonia,ARMERI013163,13308,ARS
argentina,Aluar,Aluar Aluminio Argentino S.A.,aluar,ARALUA010258,13309,ARS
argentina,BBVA Banco Frances,BBVA Banco Francés S.A.,frances,ARP125991090,13310,ARS
argentina,Banco Macro,Banco Macro S.A.,macro,ARBANS010010,13311,ARS
argentina,Edenor,Empresa Distribuidora y Comercializadora Norte S.A.,edenor,ARENOR010020,13313,ARS
argentina,Transener,Transener Cía. de Transp. de Energía Eléctr. en Alta Tensión B,transener,ARTRAN010011,13314,ARS
argentina,Mirgor,Mirgor S.A. C,mirgor,ARP6823S1295,13315,ARS
argentina,Banco Hipotecario,Banco Hipotecario SA,bco-hipotecari,ARBHIP010161,13316,ARS
argentina,Agrometal,Agrometal,agrometal,ARAGRO010015,13318,ARS
argentina,Autopistas del Sol,Autopistas del Sol,autopistas-sol,ARASOL010033,13320,ARS
argentina,Boldt Gaming,Boldt Gaming,boldt-gaming,ARBOLG010010,13321,ARS
argentina,Boldt,Boldt,boldt,ARBOLD010054,13322,ARS
argentina,Camuzzi Gas Pampeana,Camuzzi Gas Pampeana SA,camuzzi,ARCGSU010048,13323,ARS
argentina,Carlos Casado,Carlos Casado,carlos-casado,ARCADO010023,13324,ARS
argentina,Carboclor,Carboclor,carboclor,ARP8723U1058,13325,ARS
argentina,Caputo,Caputo,caputo,ARP2071R1377,13326,ARS
argentina,Enel Generacion Costanera,Enel Generacion Costanera SA,central-costan,ARP2341J1058,13327,ARS
argentina,Celulosa Argentina,Celulosa Argentina SA,celulosa,ARP219751426,13328,ARS
argentina,Central Puerto,Central Puerto S.A.,central-puerto,ARP2354W1188,13329,ARS
argentina,Grupo clarin,Grupo clarin,grupo-clarin,ARGCLA010015,13330,ARS
argentina,Colorin,Colorin Industria de Materiales Sinteticos SA,colorin,ARP2885N1161,13331,ARS
argentina,Comercial del Plata,Sociedad Comercial del Plata S.A.,comer-del-plat,ARP290071462,13332,ARS
argentina,Consultatio,Consultatio SA,consultatio-s.,ARCTIO010019,13333,ARS
argentina,Capex,Capex,capex,ARP2006N1025,13334,ARS
argentina,Cresud,Cresud S.A.C.I.F. y A.,cresud,ARP331091024,13335,ARS
argentina,Dycasa,Dycasa SA,dycasa,ARP3594C1107,13336,ARS
argentina,Distribuidora de Gas Cuyana,Distribuidora de Gas Cuyana SA,ecogas,ARP3568E1180,13337,ARS
argentina,Ferrum,Ferrum SA de Ceramica y Metalurgia,ferrum,ARP395611576,13339,ARS
argentina,Fiplasto SA,Fiplasto SA,fiplasto,ARP416191426,13340,ARS
argentina,Garovaglio y Zorroaquin,Garovaglio y Zorroaquin,garovaglio,ARP460221020,13342,ARS
argentina,Gas Natural BAN,Gas Natural BAN,gas-natural,ARGASB010027,13343,ARS
argentina,Grimoldi,Grimoldi SA,grimoldi,ARP493071046,13344,ARS
argentina,Solvay Indupa,Solvay Indupa SAIC,indupa,ARP533511050,13346,ARS
argentina,IRSA,IRSA Inversiones y Representaciones SA,irsa,ARP588091073,13347,ARS
argentina,Holcim,Holcim Argentina SA,juan-minetti,ARP6806N1051,13348,ARS
argentina,Ledesma,Ledesma SAAI,ledesma,ARP624571096,13349,ARS
argentina,Longvie,Longvie SA,longvie,ARP6356B1059,13350,ARS
argentina,Metrogas SA,Metrogas SA,metrogas,ARP6558L1178,13351,ARS
argentina,Molinos,Molinos Rio de la Plata SA,molinos,ARP689251337,13352,ARS
argentina,Morixe Hermanos,Morixe Hermanos SACI,morixe,ARP698141040,13353,ARS
argentina,GCO,Grupo Concesionario del Oeste SA,con-del-oeste,ARGCAO010012,13354,ARS
argentina,SAIEP,Importadora y Exportadora de la Patagonia SA,i-y-e-de-la-pa,ARP530571735,13355,ARS
argentina,Polledo,Polledo SAIC,polledo,ARP7905G1652,13357,ARS
argentina,PDVSur,Petrolera del Conosur SA,pet.del-conosu,ARPETO010018,13358,ARS
argentina,Quickfood,Quickfood SA,quickfood,ARQUIK010014,13359,ARS
argentina,Rigolleau,Rigolleau SA,rigolleau,ARP809061780,13361,ARS
argentina,Banco Santander Rio,Banco Santander Rio SA,b-santander-ri,ARBRIO010194,13362,ARS
argentina,Instituto Rosenbusch,Instituto Rosenbusch SA de Biologia Experimental Agropecuaria,inst-rosembusc,ARROSE010025,13363,ARS
argentina,IRSA Propiedades,IRSA Propiedades Comerciales SA,alto-palermo,ARSAMA010012,13365,ARS
argentina,Molinos Juan Semino,Molinos Juan Semino SA,moli-juan-semi,ARP689031069,13366,ARS
argentina,San Miguel,San Miguel AG,san-miguel,ARSMIG010018,13367,ARS
argentina,Telefónica,Telefonica,telefonica?cid=13370,ES0178430E18,13370,ARS
argentina,Trans. Gas Norte,Transportadora de Gas del Norte S.A. C,tran-gas-norte,ARTGNO010117,13371,ARS
argentina,Trans. Gas Sur,Transportadora de Gas del Sur S.A. B,tran-gas-del-s,ARP9308R1039,13372,ARS
argentina,YPF,YPF S.A. D,ypf-sociedad,ARP9897X1319,13373,ARS
argentina,Inversora Juramento,Inversora Juramento SA,inversora-juramento,ARINJU010010,19022,ARS
